"AKAM","Akamai Technologies, Inc.","Software - Infrastructure","14.40B"
"AKAN","Akanda Corp.","Drug Manufacturers - Specialty & Generic","3.07M"
"AKBA","Akebia Therapeutics, Inc.","Biotechnology","262.00M"
"AKO.A","Embotelladora Andina S.A.","Beverages - Non-Alcoholic","2.66B"
"AKO.B","Embotelladora Andina S.A.","Beverages - Non-Alcoholic","2.69B"
"AKR","Acadia Realty Trust","REIT - Retail","2.26B"
"AKRO","Akero Therapeutics, Inc.","Biotechnology","1.74B"
"AKTS","Akoustis Technologies, Inc.","Communication Equipment","10.92M"
"AKTX","Akari Therapeutics, Plc","Biotechnology","30.29M"
"AKYA","Akoya Biosciences, Inc.","Medical Instruments & Supplies","109.64M"
"AL","Air Lease Corporation","Rental & Leasing Services","4.58B"
"ALAB","Astera Labs, Inc.","Semiconductors","6.60B"
"ALAR","Alarum Technologies Ltd.","Software - Infrastructure","152.25M"
"ALB","Albemarle Corporation","Specialty Chemicals","10.22B"
"ALBT","Avalon GloboCare Corp.","Real Estate Services","3.05M"
"ALC","Alcon Inc.","Medical Instruments & Supplies","45.57B"
"ALCE","Alternus Clean Energy Inc","Utilities - Renewable","21.29M"
"ALCO","Alico, Inc.","Farm Products","218.13M"
"ALCY","Alchemy Investments Acquisition Corp 1","Shell Companies","161.68M"
"ALDX","Aldeyra Therapeutics, Inc.","Biotechnology","208.84M"
"ALE","ALLETE, Inc.","Utilities - Diversified","3.73B"
"ALEC","Alector, Inc.","Biotechnology","509.39M"
"ALEX","Alexander & Baldwin, Inc.","REIT - Retail","1.41B"
"ALF","Centurion Acquisition Corp.","Shell Companies","3.61B"
"ALG","Alamo Group Inc.","Farm & Heavy Construction Machinery","2.11B"
"ALGM","Allegro MicroSystems, Inc.","Semiconductors","5.07B"
"ALGN","Align Technology, Inc.","Medical Devices","16.07B"
"ALGS","Aligos Therapeutics, Inc.","Biotechnology","36.38M"
"ALGT","Allegiant Travel Company","Airlines","796.02M"
"ALHC","Alignment Healthcare, Inc.","Healthcare Plans","1.71B"
"ALIM","Alimera Sciences, Inc.","Drug Manufacturers - Specialty & Generic","292.94M"
"ALIT","Alight, Inc.","Software - Application","3.85B"
"ALK","Alaska Air Group, Inc.","Airlines","4.38B"
"ALKS","Alkermes plc","Drug Manufacturers - Specialty & Generic","4.56B"
"ALKT","Alkami Technology, Inc.","Software - Application","3.14B"
"ALL","The Allstate Corporation","Insurance - Property & Casualty","46.69B"
"ALLE","Allegion plc","Security & Protection Services","11.29B"
"ALLG","Allego N.V.","Specialty Retail","452.59M"
"ALLK","Allakos Inc.","Biotechnology","77.65M"
"ALLO","Allogene Therapeutics, Inc.","Biotechnology","536.57M"
"ALLR","Allarity Therapeutics, Inc.","Biotechnology","4.13M"
"ALLT","Allot Ltd.","Software - Infrastructure","103.41M"
"ALLY","Ally Financial Inc.","Credit Services","12.36B"
"ALMS","Alumis Inc.","Biotechnology","701.82M"
"ALNT","Allient Inc.","Electronic Components","432.14M"
"ALNY","Alnylam Pharmaceuticals, Inc.","Biotechnology","34.41B"
"ALOT","AstroNova, Inc.","Computer Hardware","110.15M"
"ALPP","Alpine 4 Holdings, Inc.","Conglomerates","10.58M"
"ALRM","Alarm.com Holdings, Inc.","Software - Application","3.31B"
"ALRN","Aileron Therapeutics, Inc.","Biotechnology","44.31M"
"ALRS","Alerus Financial Corporation","Banks - Regional","413.55M"
"ALSA","Alpha Star Acquisition Corporation","Shell Companies","108.14M"
"ALSN","Allison Transmission Holdings, Inc.","Auto Parts","7.28B"
"ALT","Altimmune, Inc.","Biotechnology","425.41M"
"ALTG","Alta Equipment Group Inc.","Rental & Leasing Services","302.63M"
"ALTI","AlTi Global, Inc.","Asset Management","525.63M"
"ALTM","Arcadium Lithium plc","Specialty Chemicals","3.08B"
"ALTO","Alto Ingredients, Inc.","Specialty Chemicals","114.18M"
"ALTR","Altair Engineering Inc.","Software - Infrastructure","6.87B"
"ALTS","ALT5 Sigma Corporation","Waste Management","26.90M"
"ALUR","Allurion Technologies Inc.","Medical Devices","54.20M"
"ALV","Autoliv, Inc.","Auto Parts","7.74B"
"ALVO","Alvotech","Drug Manufacturers - Specialty & Generic","3.48B"
"ALVR","AlloVir, Inc.","Biotechnology","88.55M"
"ALX","Alexander's, Inc.","REIT - Retail","1.17B"
"ALXO","ALX Oncology Holdings Inc.","Biotechnology","149.01M"
"ALZN","Alzamend Neuro, Inc.","Biotechnology","2.74M"
"AM","Antero Midstream Corporation","Oil & Gas Midstream","6.59B"
"AMAL","Amalgamated Financial Corp.","Banks - Regional","884.28M"
"AMAT","Applied Materials, Inc.","Semiconductor Equipment & Materials","150.53B"
"AMBA","Ambarella, Inc.","Semiconductor Equipment & Materials","1.79B"
"AMBC","Ambac Financial Group, Inc.","Insurance - Specialty","550.84M"
"AMBI","Ambipar Emergency Response","Waste Management","312.62M"
"AMBO","Ambow Education Holding Ltd.","Education & Training Services","3.46M"
"AMBP","Ardagh Metal Packaging S.A.","Packaging & Containers","2.07B"
"AMC","AMC Entertainment Holdings, Inc.","Entertainment","1.79B"
"AMCR","Amcor plc","Packaging & Containers","15.20B"
"AMCX","AMC Networks Inc.","Entertainment","451.00M"
"AMD","Advanced Micro Devices, Inc.","Semiconductors","214.45B"
"AME","AMETEK, Inc.","Specialty Industrial Machinery","35.35B"
"AMED","Amedisys, Inc.","Medical Care Facilities","3.21B"
"AMG","Affiliated Managers Group, Inc.","Asset Management","5.40B"
"AMGN","Amgen Inc.","Drug Manufacturers - General","179.16B"
"AMH","American Homes 4 Rent","REIT - Residential","13.80B"
"AMIX","Autonomix Medical, Inc.","Medical Devices","18.20M"
"AMK","AssetMark Financial Holdings, Inc.","Asset Management","2.58B"
"AMKR","Amkor Technology, Inc.","Semiconductor Equipment & Materials","7.05B"
"AMLI","American Lithium Corp.","Other Industrial Metals & Mining","84.37M"
"AMLX","Amylyx Pharmaceuticals, Inc.","Biotechnology","137.37M"
"AMN","AMN Healthcare Services, Inc.","Medical Care Facilities","2.42B"
"AMP","Ameriprise Financial, Inc.","Asset Management","39.99B"
"AMPG","AmpliTech Group, Inc.","Communication Equipment","10.01M"
"AMPH","Amphastar Pharmaceuticals, Inc.","Drug Manufacturers - Specialty & Generic","2.03B"
"AMPL","Amplitude, Inc.","Software - Application","967.42M"
"AMPS","Altus Power, Inc.","Utilities - Renewable","607.53M"
"AMPX","Amprius Technologies, Inc.","Electrical Equipment & Parts","133.88M"
"AMPY","Amplify Energy Corp.","Oil & Gas Exploration & Production","264.21M"
"AMR","Alpha Metallurgical Resources, Inc.","Coking Coal","3.39B"
"AMRC","Ameresco, Inc.","Engineering & Construction","1.44B"
"AMRK","A-Mark Precious Metals, Inc.","Capital Markets","807.96M"
"AMRN","Amarin Corporation plc","Drug Manufacturers - General","263.11M"
"AMRX","Amneal Pharmaceuticals, Inc.","Drug Manufacturers - Specialty & Generic","2.16B"
"AMS","American Shared Hospital Services","Medical Care Facilities","19.50M"
"AMSC","American Superconductor Corporation","Specialty Industrial Machinery","792.50M"
"AMSF","AMERISAFE, Inc.","Insurance - Specialty","897.54M"
"AMST","Amesite Inc.","Software - Application","6.42M"
"AMSWA","American Software, Inc.","Software - Application","359.43M"
"AMT","American Tower Corporation","REIT - Specialty","109.60B"
"AMTB","Amerant Bancorp Inc.","Banks - Regional","674.99M"
"AMTD","AMTD IDEA Group","Asset Management","1.04B"
"AMTX","Aemetis, Inc.","Oil & Gas Refining & Marketing","110.55M"
"AMWD","American Woodmark Corporation","Furnishings, Fixtures & Appliances","1.48B"
"AMWL","American Well Corporation","Health Information Services","165.26M"
"AMX","América Móvil, S.A.B. de C.V.","Telecom Services","51.02B"
"AMZN","Amazon.com, Inc.","Internet Retail","1,747.27B"
"AN","AutoNation, Inc.","Auto & Truck Dealerships","6.88B"
"ANAB","AnaptysBio, Inc.","Biotechnology","894.96M"
"ANDE","The Andersons, Inc.","Food Distribution","1.74B"
"ANEB","Anebulo Pharmaceuticals, Inc.","Biotechnology","51.87M"
"ANET","Arista Networks, Inc.","Computer Hardware","100.32B"
"ANF","Abercrombie & Fitch Co.","Apparel Retail","6.76B"
"ANGH","Anghami Inc.","Entertainment","27.78M"
"ANGI","Angi Inc.","Internet Content & Information","1.01B"
"ANGO","AngioDynamics, Inc.","Medical Instruments & Supplies","312.95M"
"ANIK","Anika Therapeutics, Inc.","Medical Instruments & Supplies","386.29M"
"ANIP","ANI Pharmaceuticals, Inc.","Drug Manufacturers - Specialty & Generic","1.28B"
"ANIX","Anixa Biosciences, Inc.","Biotechnology","105.62M"
"ANL","Adlai Nortye Ltd.","Biotechnology","371.99M"
"ANNX","Annexon, Inc.","Biotechnology","629.32M"
"ANRO","Alto Neuroscience, Inc.","Biotechnology","244.91M"
"ANSC","Agriculture & Natural Solutions Acquisition Corporation","Shell Companies","444.62M"
"ANSS","ANSYS, Inc.","Software - Application","26.38B"
"ANTE","AirNet Technology Inc.","Advertising Agencies","9.45M"
"ANTX","AN2 Therapeutics, Inc.","Biotechnology","76.96M"
"ANVS","Annovis Bio, Inc.","Biotechnology","96.75M"
"ANY","Sphere 3D Corp.","Software - Application","18.88M"
"AOGO","Arogo Capital Acquisition Corp.","Shell Companies","47.67M"
"AOMR","Angel Oak Mortgage, Inc.","REIT - Mortgage","322.98M"
"AON","Aon plc","Insurance Brokers","71.74B"
"AORT","Artivion, Inc.","Medical Devices","1.09B"
"AOS","A. O. Smith Corporation","Specialty Industrial Machinery","12.02B"
"AOSL","Alpha and Omega Semiconductor Limited","Semiconductors","999.11M"
"AOUT","American Outdoor Brands, Inc.","Leisure","116.05M"
"AP","Ampco-Pittsburgh Corporation","Metal Fabrication","29.94M"
"APA","APA Corporation","Oil & Gas Exploration & Production","10.61B"
"APAM","Artisan Partners Asset Management Inc.","Asset Management","2.84B"
"APCX","AppTech Payments Corp.","Software - Infrastructure","22.26M"
"APD","Air Products and Chemicals, Inc.","Specialty Chemicals","62.63B"
"APDN","Applied DNA Sciences, Inc.","Diagnostics & Research","3.39M"
"APEI","American Public Education, Inc.","Education & Training Services","311.78M"
"APG","APi Group Corporation","Engineering & Construction","9.55B"
"APGE","Apogee Therapeutics, Inc.","Biotechnology","2.58B"
"APH","Amphenol Corporation","Electronic Components","71.21B"
"API","Agora, Inc.","Software - Application","223.48M"
"APLD","Applied Digital Corporation","Information Technology Services","621.38M"
"APLE","Apple Hospitality REIT, Inc.","REIT - Hotel & Motel","3.51B"
"APLM","Apollomics, Inc.","Biotechnology","18.82M"
"APLS","Apellis Pharmaceuticals, Inc.","Biotechnology","4.44B"
"APLT","Applied Therapeutics, Inc.","Biotechnology","673.03M"
"APM","Aptorum Group Limited","Biotechnology","16.79M"
"APO","Apollo Global Management, Inc.","Asset Management","58.91B"
"APOG","Apogee Enterprises, Inc.","Building Products & Equipment","1.40B"
"APP","AppLovin Corporation","Software - Application","22.61B"
"APPF","AppFolio, Inc.","Software - Application","7.95B"
"APPN","Appian Corporation","Software - Infrastructure","2.16B"
"APPS","Digital Turbine, Inc.","Software - Application","203.13M"
"APRE","Aprea Therapeutics, Inc.","Biotechnology","20.42M"
"APT","Alpha Pro Tech, Ltd.","Building Products & Equipment","63.59M"
"APTO","Aptose Biosciences Inc.","Biotechnology","8.86M"
"APTV","Aptiv PLC","Auto Parts","18.94B"
"APVO","Aptevo Therapeutics Inc.","Biotechnology","3.21M"
"APWC","Asia Pacific Wire & Cable Corporation Limited","Electrical Equipment & Parts","32.37M"
"APXI","APx Acquisition Corp. I","Shell Companies","115.16M"
"APYX","Apyx Medical Corporation","Medical Devices","39.84M"
"AQB","AquaBounty Technologies, Inc.","Farm Products","6.48M"
"AQMS","Aqua Metals, Inc.","Waste Management","40.45M"
"AQN","Algonquin Power & Utilities Corp.","Utilities - Renewable","4.72B"
"AQST","Aquestive Therapeutics, Inc.","Drug Manufacturers - Specialty & Generic","313.17M"
"AQU","Aquaron Acquisition Corp.","Shell Companies","26.65M"
"AR","Antero Resources Corporation","Oil & Gas Exploration & Production","8.24B"
"ARAY","Accuray Incorporated","Medical Devices","158.79M"
"ARBB","ARB IOT Group Limited","Information Technology Services","8.49M"
"ARBE","Arbe Robotics Ltd.","Software - Infrastructure","162.70M"
"ARBK","Argo Blockchain plc","Capital Markets","90.86M"
"ARC","ARC Document Solutions, Inc.","Specialty Business Services","129.54M"
"ARCB","ArcBest Corporation","Trucking","2.47B"
"ARCC","Ares Capital Corporation","Asset Management","12.79B"
"ARCH","Arch Resources, Inc.","Coking Coal","2.45B"
"ARCO","Arcos Dorados Holdings Inc.","Restaurants","2.01B"
"ARCT","Arcturus Therapeutics Holdings Inc.","Biotechnology","553.45M"
"ARDT","Ardent Health Partners, Inc.","Medical Care Facilities","2.48B"
"ARDX","Ardelyx, Inc.","Biotechnology","1.42B"
"ARE","Alexandria Real Estate Equities, Inc.","REIT - Office","19.83B"
"AREB","American Rebel Holdings, Inc.","Footwear & Accessories","3.29M"
"AREC","American Resources Corporation","Coking Coal","45.85M"
"AREN","The Arena Group Holdings, Inc.","Internet Content & Information","27.23M"
"ARES","Ares Management Corporation","Asset Management","27.25B"
"ARGX","argenx SE","Biotechnology","29.88B"
"ARHS","Arhaus, Inc.","Home Improvement Retail","1.92B"
"ARI","Apollo Commercial Real Estate Finance, Inc.","REIT - Mortgage","1.48B"
"ARIS","Aris Water Solutions, Inc.","Utilities - Regulated Water","464.33M"
"ARKO","Arko Corp.","Specialty Retail","716.46M"
"ARKR","Ark Restaurants Corp.","Restaurants","47.95M"
"ARL","American Realty Investors, Inc.","Real Estate Services","277.01M"
"ARLO","Arlo Technologies, Inc.","Building Products & Equipment","1.35B"
"ARLP","Alliance Resource Partners, L.P.","Thermal Coal","3.06B"
"ARM","Arm Holdings plc","Semiconductors","141.05B"
"ARMK","Aramark","Specialty Business Services","8.76B"
"ARMN","Aris Mining Corporation","Gold","682.04M"
"ARMP","Armata Pharmaceuticals, Inc.","Biotechnology","94.36M"
"AROC","Archrock, Inc.","Oil & Gas Equipment & Services","3.12B"
"AROW","Arrow Financial Corporation","Banks - Regional","484.08M"
"ARQ","Arq, Inc.","Pollution & Treatment Controls","210.11M"
"ARQQ","Arqit Quantum Inc.","Software - Infrastructure","54.60M"
"ARQT","Arcutis Biotherapeutics, Inc.","Biotechnology","1.07B"
"ARR","ARMOUR Residential REIT, Inc.","REIT - Mortgage","995.79M"
"ARRY","Array Technologies, Inc.","Solar","1.43B"
"ARTL","Artelo Biosciences, Inc.","Biotechnology","4.33M"
"ARTNA","Artesian Resources Corporation","Utilities - Regulated Water","401.16M"
"ARTV","Artiva Biotherapeutics, Inc.","Biotechnology","266.57M"
"ARTW","Art's-Way Manufacturing Co., Inc.","Farm & Heavy Construction Machinery","7.51M"
"ARVN","Arvinas, Inc.","Biotechnology","1.77B"
"ARW","Arrow Electronics, Inc.","Electronics & Computer Distribution","6.69B"
"ARWR","Arrowhead Pharmaceuticals, Inc.","Biotechnology","3.26B"
"AS","Amer Sports, Inc.","Leisure","5.43B"
"ASA","ASA Gold and Precious Metals Limited","Asset Management","353.78M"
"ASAI","Sendas Distribuidora S.A.","Grocery Stores","2.41B"
"ASAN","Asana, Inc.","Software - Application","2.95B"
"ASB","Associated Banc-Corp","Banks - Regional","3.19B"
"ASC","Ardmore Shipping Corporation","Marine Shipping","827.91M"
"ASCB","A SPAC II Acquisition Corporation","Shell Companies","83.84M"
